	MMLTSSF1L	MMLTSSF1L
30/10/2024 04:47:00 p. m.	?T	?I
Time	°C	°C
30/10/2024  16:47:53.962	61.10	26.30
30/10/2024  16:47:54.082	61.10	26.30
30/10/2024  16:47:54.203	61.00	26.30
30/10/2024  16:47:54.324	61.00	26.30
30/10/2024  16:47:54.446	60.90	26.30
30/10/2024  16:47:54.567	60.90	26.30
30/10/2024  16:47:54.688	60.80	26.30
30/10/2024  16:47:54.809	60.80	26.30
30/10/2024  16:47:54.948	60.70	26.30
30/10/2024  16:47:55.069	60.70	26.30
30/10/2024  16:47:55.192	60.60	26.30
30/10/2024  16:47:55.314	60.60	26.30
30/10/2024  16:47:55.436	60.50	26.30
30/10/2024  16:47:55.557	60.50	26.30
30/10/2024  16:47:55.694	60.40	26.30
30/10/2024  16:47:55.816	60.40	26.30
30/10/2024  16:47:55.937	60.40	26.30
30/10/2024  16:47:56.059	60.40	26.30
30/10/2024  16:47:56.181	60.30	26.30
30/10/2024  16:47:56.302	60.30	26.30
30/10/2024  16:47:56.425	60.30	26.30
30/10/2024  16:47:56.548	60.30	26.30
30/10/2024  16:47:56.669	60.10	26.30
30/10/2024  16:47:56.790	60.10	26.30
30/10/2024  16:47:56.911	60.10	26.30
30/10/2024  16:47:57.033	60.10	26.30
30/10/2024  16:47:57.154	60.00	26.30
30/10/2024  16:47:57.275	60.00	26.30
30/10/2024  16:47:57.396	59.90	26.30
30/10/2024  16:47:57.519	59.90	26.30
30/10/2024  16:47:57.641	59.90	26.30
30/10/2024  16:47:57.762	59.90	26.30
30/10/2024  16:47:57.885	59.80	26.30
30/10/2024  16:47:58.007	59.80	26.30
30/10/2024  16:47:58.129	59.80	26.30
30/10/2024  16:47:58.252	59.80	26.30
30/10/2024  16:47:58.374	59.70	26.30
30/10/2024  16:47:58.495	59.70	26.30
30/10/2024  16:47:58.617	59.60	26.30
30/10/2024  16:47:58.739	59.60	26.30
30/10/2024  16:47:58.861	59.50	26.30
30/10/2024  16:47:58.983	59.50	26.30
30/10/2024  16:47:59.104	59.40	26.30
30/10/2024  16:47:59.226	59.40	26.30
30/10/2024  16:47:59.348	59.40	26.30
30/10/2024  16:47:59.471	59.40	26.30
30/10/2024  16:47:59.594	59.30	26.30
30/10/2024  16:47:59.715	59.30	26.30
30/10/2024  16:47:59.837	59.20	26.30
30/10/2024  16:47:59.959	59.20	26.30
30/10/2024  16:48:00.081	59.10	26.30
30/10/2024  16:48:00.203	59.10	26.30
30/10/2024  16:48:00.323	59.00	26.30
30/10/2024  16:48:00.444	59.00	26.30
30/10/2024  16:48:00.567	58.90	26.30
30/10/2024  16:48:00.687	58.90	26.30
